File name,Radar name,Frequency,PRT,PRF,Pulsewidth,Receiving time,Dead time,Peak Power,Average Power,Instrumented Range,Range Resolution,Accuracy,Beamwidth,Hits per scan,Antenna Rotation,MTBCF,MTTR
karte015.en.html,AN/TPY-2,8.55 … 10 GHz,,,,,,,,1000 km,,,,,static,,
karte016.en.html,Ground Master GM 403,2.9 … 3.3 GHz,,,,,,,,470 km,200 m,50 m; 0.3°,3°,1 … 3,6 r.p.m.,> 3 500 h,
karte017.en.html,G/ATOR,X-Band,,,,,,,,,,,,,,,
karte018.en.html,LSTAR®,L-Band,,,,,,,,,,,,,,,
karte019.en.html,AN/TPS-59,1 215 … 1 400 MHz,,"180 and
	625 Hz","0.18 and
	1 ms",,,46 kW,,7 - 740 km,43 m,,"ε: < 1.7°, (1.4° low angle)
β: 3,2°",1 - 3,5 or 10 s,> 1 000 hrs,< 40 min
karte020.en.html,Ground Master GM 200,S-Band,,,,,,,,250 km or 100 km,,,,,20 or 40 r.p.m.,> 2 800 h,
karte021.en.html,AN/TPS-78,2 800 … 3 100 MHz,,,,,,,,240 NM (445 km),,,,,10 r.p.m.,> 3 000 h,< 0.5 h
karte022.en.html,TAFLIR,"2 900 … 3 100 MHz
	(S-Band)",appr. 4 ms,235 – 275 Hz,6.8 µs,,,1 MW,1.7 kW,100 km,,,1.1°,,,,
karte023.en.html,AN/TPS-70,2 900 … 3 000 MHz,,250 … 275 pps,6.5 µs,,,3.5 MW,6.2 kW,450 km,,,1.5°,,6 r.p.m.,600 hrs,0.5 hr
karte024.en.html,Serdar,X-Band,,,,,,,,48 NM (≙ 90 km),,,,,6 / 12 / 18 r.p.m.,,
karte025.en.html,AN/TPS-77,1 215 … 1 400 MHz,,,51.2 µs (short range)409.6 µs (long-range),,,19.9 kW,3.6 kW,5 to 250 NM (10 to 470 km),,,,1 … 3,"5, 6, 10, 12 r.p.m.",> 2 000 h,
karte026.en.html,80K6M,S-Band,,,,,,,,400 km,,100 m; 0.33°,,,5 or 10 r.p.m.,,
karte027.en.html,JY-27 “Wide Mat”,,"240 – 390 MHz 
	(VHF-Band)",,,,,,,,280 km,600m,±150 m ; ±1º,7°,,,,
karte028.en.html,39N6 “Casta 2E2”,UHF-Band,,,,,,,,5 … 150 km,300 m,100 m ; 0.7°,5.5°,,6 or 12 r.p.m.,,
karte029.en.html,JY-27A,VHF-Band,,,,,,,,310 NM (≙ 500 km),,,,,,,
karte030.en.html,JYL-1,"2 900 … 3 100 MHz
	(S-Band)",,430 Hz (?),,,,,,450km,200 m,±100m ; 0.3º,1.5°,,,> 800 h,< 0.5 h
karte031.en.html,JY-11 “Hunter-1”,,2.7 … 3.4 GHz,,,20 µs,,,"13,5 kW",,110 NM (≙ 220 km),200 m,±100 m; ±0.5°,2.5°,,,> 800 h,< 0.5 h
karte032.en.html,YLC-2,,"1 240 … 1 400 MHz
	(L-Band)",,275 Hz,,,,85 kW,5.5 kW,330 km,≤ 300 m,≤ 100 m ; ≤ 0.3°,,,,,
karte033.en.html,Vostok E,"≈ 175 MHz
	 VHF-Band",,,,,,,,360 km,150 … 200 m,25 m ; 0.8°,5.5°,,,,
karte034.en.html,55Zh6ME Nebo-M RLM-ME,VHF-Band,,300 Hz,,,,140 kW,,,,< 400 m; < 0.67°,,,3 or 6 r.p.m.,,
karte035.en.html,Vostok-3S,S-Band,,,,,,,,360 km,220 m,25 m; β: 0.15°; ε: 0.08° …	0.1°,β: 1.8°; ε: 1.2°,,6 r.p.m.,,
karte036.en.html,AN/TPS-63,1 225 … 1 400 MHz,,"300, 375, 500, 750 Hz",41 µs (dual frequency),,,100 kW,3 kW,370 km,190 m,150 m; 0.35°,2.7º,,"6, 12, 15 r.p.m.",> 2 000 h,30 min
karte037.en.html,ELM-2288,S-Band,,,,,,,,480 km,,,,,,,
karte038.en.html,Giraffe 8A,S-Band,,,,,,,,470 km,,,,,24 r.p.m.,,
karte039.en.html,55Zh6U “NEBO-U”,VHF-Band,,,,,,500 kW,5 kW,700 km,,500 m ; 0.4°,,,6 r.p.m.,> 250 h,
karte040.en.html,48Ya6-K1 “Podlet K1”,S-Band,,,,,,,,,,,,,,,
karte041.en.html,NUR-15 «Odra»,S-Band,,,,,,185 kW,,240 km,,< 50 m,,,8 to 12 rpm,,
karte042.en.html,AMBER 1800,"140 MHz … 180 MHz
	(in steps of 200 kHz)",,,6 µs and 78 µs,,,8 kW (optional: 30 kW),,360 km (optional: 500 km),1100 m,270 m ; 0.4°,6°,,3 to 6 rpm,,
karte043.en.html,AN/FPS-124,"1218 to 1398 MHz
	(at six assigned frequencies)",,,,,,,,70 NM (≙ 113 km),,,,,,> 4000 hrs,< ½ hr
karte044.en.html,96L6E “Cheese Board”,C-Band,,,ca. 30 µs (?),,,,,5 … 300 km,,,,,5 or 10 rpm,10 000 hrs,
karte045.en.html,Commander SL,S-Band,,,,,,,,250 NM (≙ 470 km),200 m,"50 m, 0.2°",,,,1 500 hrs,30 min
karte046.en.html,YLC-6,S-Band,,,,,,180 kW,,180 km,150 m,,1.5º,,,,
karte047.en.html,RDL-45,L-Band,,,,,,,,470 km,,,,,,,< 1 hr
karte048.en.html,AN/TPS-703,S-Band,,,,,,,,80 NM (≙ 148 km),,,,,,2 000 hrs,
karte049.en.html,"N-21, N-22",S-Band,,1 000 Hz,10 µs,,,90 kW,,100 km,,100 m; 0.2°,,,12 or 24 rpm,,
karte050.en.html,Master M,S-Band,,,,,,,,470 km,200 m,30m; 0.3°,3°,,,1 500 hrs,
karte051.en.html,Master A,S-Band,,,,,,,,370 km,220 m,30 m; 0.1°,,,,,
karte052.en.html,GS 1000,S-Band,,,,,,,,1 000 km,,,,,,,
karte053.en.html,GS 100,S-Band,,,,,,,,180 km,,,,,,,
karte054.en.html,Rohini,S-Band,,,,,,,,200 km,200 m,50 m; ±0.5°,1.8°…3°,,7.5 or 15 rpm,,
karte055.en.html,Indra,,L-Band,,,3.2 µs,,,40 kW,,50 km,,,3°,,16 rpm,,
karte056.en.html,EIRS,S-Band,,,,,,,,700 km,,,,,,3000 hrs,30 min
karte057.en.html,ESR 360L,,L-Band,,,,,,,,150 km,,60 m; 0.3°,,,7.5 … 15 rpm,,
karte058.en.html,N-11,S-Band,,,,,,,,,,,,,,,
karte059.en.html,HGR-106,UHF-Band,,,,,,,,180 or 210 km,,150 m; 0.5°,,,,,
karte060.en.html,ESR 220,L-Band,,,,,,,65 NM (≙ 120 km),,,,,,,
karte061.en.html,FPS-303K,S-Band,,,,,,,,200 km,,,,,,,
karte062.en.html,Gryphon R1410,X-Band,,,,,,,,48 km,,5 m ; β: 0.2° ; ε: 1°,,,,20 000 h,
karte063.en.html,67N6E «Gamma-D»,D-Band,,,,,,,12.5 kW,400 km,300 m,100 m; 0.2°,1.35°,,6 min⁻¹,1 000 hrs,
karte064.en.html,TRML-4D,G-Band,,,,,,,,250 km,,,,,,,
karte065.en.html,YLC-8B,UHF-Band,,,,,,,,300 NM (≙ 550 km),,,,,,,
karte066.en.html,SLC-7,L-Band,,,,,,,,450 km,,,,,,,
karte067.en.html,JTPS-P25,X-Band,,,,,,,,300 km (?),,,,,,,
karte068.en.html,JTPS-P14,S-Band,,,,,,,,400 km,,,,,,,
karte069.en.html,AR-320,E/F-Band,,,,,,24 kW,,250 NM (≙ 470 km),70 m,,1.4°,,,,
karte070.en.html,AR-325 Commander,"2 700 … 3 100 MHz
	(E/F-Band)",,270 … 1 400 Hz,max. 200 µs,,,135 kW,7.5 kW,250 NM (≙ 470 km),,,1.4°,,,,
karte071.en.html,ELM 2084,S-Band,,,,,,,,256 NM (≙ 475 km),,,,,,,
karte072.en.html,Malachit,VHF-Band,,,,,,,,400 km,450 m,107 m; 0.32°,6°,,,2 000 h,
karte073.en.html,N22-N(3D),"3,2 … 3,4 GHz
	 (S-Band)",,,,,,10 or 20 kW,,60 or 100 km,120 m,,3°,,12 or 24 min⁻¹,,
karte074.en.html,NUR-31,L-Band,,,10 µs,,,400 kW,,200 km,150 m,,1.8°,,6 min⁻¹,,
karte075.en.html,GESTRA,"1 280 … 1 380 MHz
	(L-Band)",,,(≈ 2 ms  *),,,256 kW,64 kW,3 000 km,(≈ 1 m  *),(≈ 15 cm  *),(≈ 4°  *),,,,
karte076.en.html,1RL123E,L-Band,,,,,,,,350 km,100 m,20 … 50 m; 0.42°,β= 4° ;ε= 5.5°,,3 or 6 min⁻¹,1 800 hrs,
karte077.en.html,ANGD,S-Band,,,,,,,,100 km,,,,,12 min⁻¹,,
karte078.en.html,ASR-100X,"9.0 … 9.5 GHz
	(X-Band)",,,,,,8 kW,,100 km,,32 m,1.4º,,7.5 or 15 min⁻¹,,
karte079.en.html,J17,VHF-Band,,,,,,,,,,,,,,,
karte080.en.html,MMSR,"3.2 … 3.4 GHz
	(F-Band)",,,10 µs,,,10 kW,400 W,40 km,,100 m; 0.5°,3.3°,,60 rpm,,
karte081.en.html,Saber M200,S-Band,,,,,,2 × 115 kW,,240 NM (≙ 450 km),150 m,0.08°,,,,,
karte082.en.html,Pather-A,VHF-Band,,,,,,,,,,,,,,,
karte083.en.html,LANZA LTR-25,"1 215 … 1 400 MHz
	(L-Band)",,,,,,53.5 kW,5.35 kW,240 NM (≙ 450 km),,,,,5 … 12 rpm,,
karte084.en.html,AN/SPQ-11 “Cobra Judy“,"2 900 … 3 100 MHz
	(S-Band)",,CW … < 400 kHz,CW … > 50 ns,,,,,> 2 000 NM(≙ > 3 700 km),,,,,,,
karte085.en.html,JTPS-P11,"… 
	(X-Band)",,,,,,,,,,,,,,,
karte086.en.html,JTPS-102,L-Band,,,,,,,,200 NM (≙ 370 km),,,,,,,
karte087.en.html,LeoLabs Space Radar,S-Band,,,,,,,,,,,,,,,
karte088.en.html,9S15M,F-Band,,,22 … 47 µs,,,18 kW,8 kW,330 km,400 m,250 m; 0.5°,1.4°,,6 … 12 rpm,,
karte089.en.html,Kashif 1,S-Band,,866; 1250 or 1666 Hz,1; 0.8 or 0.4 µs,,,800 kW,800 W,150 km,,,4°,,3; 6 or 12 rpm,≥ 1000 hrs,≤ 0.5 hr
karte090.en.html,Kashif 2,S-Band,,,,,,,,200 km,,,,,,,
karte091.en.html,AN/MPS-39,"5.4 … 6.9 GHz
	(C-Band)",,10 … 1280 Hz,"0.25; 0.5; 1 µs;
	3.125; 12.5; 50 µs",,,1 MW,5 kW,8000 km,,,1.05°,,,,
karte092.en.html,S3TSR,"1 215 … 1 400 MHz
	(L-Band)",,,,,,,,200 … 2 000 km,,,,,,,
karte093.en.html,9S18M,H/I-Band,,,,,,,2.5 … 4.5 kW,160 km,400 m,130 m; 0.3°,"3 … 4,5°",,3 … 14 rpm,,
karte094.en.html,PSR 3D,"1 250 … 1 350 MHz
		(L-Band)",,,up to 500 µs,,,,,60 NM(≙ 110 km),200 m; 3°,"50 m, 0,2°",β= 2.8° ;ε= 6°,,15,20 000 h,30 min
karte095.en.html,REL-4,L-Band,,,,,,,,,,,,,,,
karte096.en.html,J/FPS-5,"L,S-Band",,,,,,,,1 800 km,,,,,,,
karte097.en.html,LP-23SST-NG,"1 250 … 1 350 MHz
	(L-Band)",,,,,,,,250 NM (≙ 460 km),140 m,50 m; 0.2°,1.25°,,5 or 6 rpm,34 000 h,30 min
karte098.en.html,LANZA LTR-20,"1 215 … 1 400 MHz
	(L-Band",,,,,,,,60 NM(≙ 110 km),,,,,12/15 rpm,,
karte099.en.html,LANZA LRR,L-Band,,,,,,,,250 NM (≙ 460 km),,,,,6 rpm,,
karte100.en.html,LRS-450,L-Band,,,,,,,,250 NM (≙ 460 km),,,,,,,
karte001.en.html,Alenia Marconi ALE 3x5,"D-Band
(former called
	L-Band)",,,,,,up to 2 MW,,15 to 190 NM,,,,,,,
karte002.en.html,Surface Movement Radar ASDE,15.7 … 17.7 GHz,,16 kHz,40 nanoseconds,,,3 kW,,600 … 7300 meters,,,β=0.25 ; ε=1.6 degrees,,1 second (60 rpm),,
karte003.en.html,Airfield Surveillance Radar ASR 9,2.7 to 2.9 GHz,,325 to 1200 pps,1 microsecond,,,1.3 Mwgawatt,,up to 60 NM,450 ft,,1.4 degrees,,12.5 rpm,3 500 h,
karte004.en.html,ASR 910,S-Band,≈ 952 µs,≈ 1050 pps (staggered),2·1 Microseconds,801.5 µs,150 µs,2·500 kW,2·525 W,60 NM,450 ft,,1.55°,20,4.2 s,,
karte005.en.html,ASR 12,2.7 to 2.9 GHz,processor controlled,,"1 µs and
	55 µs",,,22 kW,,60 / 80 / 100 NM,700 ft,,1.4 degrees,,10 / 12 / 15 rpm.,> 37 500 h,< 0.25 h
karte006.en.html,ASR-E,2.7 to 3.0 GHz,(staggered and dependenton a schedule),alternating: 1 µs und 2· 45 µs,dependent on a schedule,,maximum 25 kW,2.5 kW,60 NM (≙ 110 km),540 ft,,< 1.43 Degrees,,4 or 5 Seconds(15 and 12 rpm.),,
karte007.en.html,ASTRE 2000,15.7 bis 16.7 GHz,122 Microseconds,8192 Hertzes,40 Nanoseconds,,,22 to 24.9 kW,,,,,"β=0,33 Degrees   ε=3,5 Degrees",,1 Second,,
karte008.en.html,Digital Air Surveillance Radar (DASR) ASR 11,"2,7 bis 2,9 GHz",,,1 µs and 80 µs,,,25 kW,2.1 Kilowatt,60 NM (≙ 110 km),926 m (0.5 NM),,1.41°,,12 RPM,,
karte009.en.html,EA5025,2.7 to 2.9 GHz,,,,,,,,,,,< 1.5°,,,,
karte010.en.html,Marconi S-511,S-Band,,< 1000 Hz (staggered),0.85 µs,,,650 kW,550 W,200 NM,½ NM,,,,4 s (15 rpm.),,
karte011.en.html,NOVA 9004,9.37 GHz,,8192 Hertzes,,,,17 kW,,"4,500 ft",30 ft,,,1 second,,,
karte012.en.html,PAR-80,I-Band,290 Microseconds,3450 Hertzes,0.24 Microseconds,250 Microseconds,40 Microseconds,180 Kilowatts,124 Watts,20 NM,100 feets,,1.1 Degrees,,,,
karte013.en.html,SRE-M,1250 … 1350 MHz,,310 - 480 Hz,2 µs,> 2.5 Megawatts,,400 km,1 km,,1.1 degrees,5 … 12 s,,
karte014.en.html,Star 2000,2 700 … 2 900 MHz,,"10000 pps (short pulse)
	850 to 1150 pps (long pulse)",1 µsec and 75 µsec,,,15 or 28 kW,,60 or 80 NM,700 ft,,2.3 degrees,,4 s (15 rpm) or 5s (12 rpm),,
karte015.en.html,TASR,2 700 … 2 900 MHz,,,,,,,,60 NM,,,,,4.8 … 5 seconds,4800 h,0.26 h
karte016.en.html,Scanter 2001,"9.170, 9.375, 9.410,9.438 or 9.490 GHz (X-Band)",,800 - 8.000 Hz (Programmable),40 nanoseconds,,,25 to 30 kW,,5 km,,,β< 0.37° ε= 11°,,60 rpm,,
karte017.en.html,ATCR-33S DPC,2 700 … 2 900 MHz (S-Band),,800 Hz (Programmable),10 µs and 100 µs,,,19 to 24 kW,"2 to 2,6 kW",60 NM (≙ optional: 100 NM),220 m,,"1,45°",monopulse,"10, 12 or 15 rpm",40 000 h,20 min
karte018.en.html,RL-2000/GCI,2.7 … 2.9 GHz,staggered,,"2x 1 and 2x 45 µs
	(frequency diversity)",,,14 or 25 kW,2 … 2.6 kW,60 or 80 NM,70 … 230 m,,< 1.5 Degrees,monopulse radar,,,
karte019.en.html,Watchman,"2,750 … 3,050 MHz",,"≈ 1,100 Hz (9-fold staggered)",0.4 and 20 µs,,,58 kW,1.3 kW,80 NM,60 m (190 ft),,"β=1,5°   ε=30°",,4 Seconds (15 rpm),,
karte020.en.html,Morava,2.7 … 2.9 GHz,1.1 ms or 1.4 ms,,"1µs, 75µs (alternating)",,,15 or 25 kW,,60 or 80 NM,225 m,,1.3 degrees,,12 or 15 rpm,,
karte021.en.html,PAR 2090,9 to 9.18 GHz (X-Band),,,,,,,,20 nmi (40 nmi),< 100 m,,"β: 1°, ε: 0.6°",,,,
karte022.en.html,ASR 2000,"2.7 to 2.9 GHz 
	(S-Band)",between approx. 0.9 and 1.1 ms,1000 pps,0.8 µs / 60 or 80 µs,,,up to 32 kW,,60 or 80 nmi (110 or 150 km),60 m / 0.12°,"210 m / 2,3°",,1.5°,,15 rpm,,
karte023.en.html,PAR-E,X-Band,,,,,,,,40 km (21.6 NM),,,,,,> 13 400 h,"< 0,5 h"
karte024.en.html,Terminal Area Radar RL-64 I,2 700 … 2 900 MHz,,,,,,,,65 NM (120 km),,,,,15 rpm,,
karte025.en.html,Terminal Area Radar RL-71 SX,2 700 … 2 900 MHz,,,1µs and 90 µs,,,,,120 - 150 km (65 - 80 NM),,,,,10 – 15 rpm,,
karte026.en.html,RP-5G,9 250 - 9 500 MHz,,1.8; 2; 2.2 kHz ±10%,0.5 µs,,,2 · 150 kW,,30 km,120 m,,"Azimuth:	β= 0,62° ±0,12°;
	Elevation:	ε = 0,44°",,,,
karte027.en.html,Star NG,2 700 − 2 900 MHz,,,,,,,,60 / 80 / 100 NM,< 50 m,,"1,4°",,15 / 12 / 10 rpm,,
karte028.en.html,ARSR-4,1 215 − 1 400 MHz,,,"150 μsec NLFM
(sub-pulses: 90 µsec; 60µsec)",,,65 kW,3.5 kW,250 NM (≙ 463 km),323 m,,1.5º,,5 rpm,,
karte029.en.html,ATCR-44S,1240 – 1355 MHz (L-Band),,,,,,,,up to 220 NM (≙ 410 km),,,,,5 or 12 rpm,,
karte030.en.html,AN/FPN-63(V),9.00 GHz … 9.16 GHz,,"2750 Hz fixed3300 Hz (7, 8, 9) staggered",0.2 µs,,,80 kW,,20 NM,,,"course: β = 0.85°, ε = 2.2°
	glide: β = 3.8°, ε = 0.55°",,,,
karte031.en.html,AN/TPS-73,"2.7 … 2.9 GHz 
	(S-Band)",,,,,,10 kW,"1,1 kW",60 NM (≙ 110 km),230 m,"range: 60 m,azimuth: 0.18°","β= 1.45°, ε= 5°",,12 or 15 rpm,5 000 hrs,1.4 hr
karte032.en.html,FBPAR,X-Band,,,,,,,,15 NM (≙ 28 km),,"Azimuth: 0.34°
	Elevation: 0.23°
	Range: 88 ft",,,,,
karte033.en.html,AN/MPN-14,,2780 … 2820 MHz,,1100 Hz,,,,600 kW,,60 NM (≙ 110km),200 m,1°; 4%,2.3°,,,,
karte034.en.html,Scanter 5502/5602 ,Scanter,9.0 - 9.5 GHz (X-Band),,,,,,0 … 20 kW,50 W,5 NM (≙ 9 km),,3 m,,,60 rpm,> 50 000 h,
karte035.en.html,Lira-A10,2 700 … 2 900 MHz,,10 kHz or 750 Hz,1.6 µs or 60 µs,,,,,160 km,225 m,50 m; 0.1°,1.5°,,12 or 15 rpm,,
karte036.en.html,AORL-1,"1 215 - 1 279 MHz
	 L-Band",,,6 µs and 88 µs,,,10 kW,,87 NM (≙ 162 km),225 m,< 40 m; < 0.14°,2.25°,,12 rpm,,
karte037.en.html,ASR-NG,"2.7 … 2.9 GHz
	(S-Band)",,,,,,,,120 or 80NM (≙ 220 or 160 km),150 m,,2.9°,,12 or 15 rpm,,
karte038.en.html,GLC-33,S-Band,,,,,,,,60 or 80NM (≙ 111 or 148 km),250 m,≤ 60 m; ≤0.16°,2.5°,,15 or 12 rpm,,
karte039.en.html,SOPKA-2,S-Band,,,,,,,,360 km,250 m,50 m; β:0.17° ; ε:0.25°,1.3°,,6 rpm,,
karte040.en.html,TRAC 2000N,"1215 … 1  MHz
	(L-Band)
pulse repetition time (PRT):
 
pulse repetition frequency (PRF):
 
pulsewidth (τ):
 
receiving time:
 
dead time:
 
peak power:
 
average power:
 
instrumented range:
200 or 250 NM
(≙   or 460 km)
range resolution:
 
accuracy:
 
beamwidth:
 
hits per scan:
 
antenna rotation:
5 or 6 rpm
MTBCF:
> 35 000 h
MTTR:
< 0.5 h",,,,,,,,"200 or 250 NM
(≙   or 460 km)
range resolution:
 
accuracy:
 
beamwidth:
 
hits per scan:
 
antenna rotation:
5 or 6 rpm
MTBCF:
> 35 000 h
MTTR:
< 0.5 h",,,,,5 or 6 rpm,> 35 000 h,< 0.5 h
karte041.en.html,SCR-24,"9.0 … 9.2 GHz
	(X-Band)",,,50 µs,,,,,15 NM (≙ 28 km),60 m,30 m,1.2°,,,≥ 30000 h,
karte042.en.html,PAR 2080 C,X-Band,,,,,,,,,< 100 m,,"β: < 1° ε: < 0,6°",,,3000 h,
karte043.en.html,SCR-25,Ku-Band,,,,,,,,5500 m,10 m,"7.5 m, 0.25°",,,60 rpm,> 30000 h,
karte044.en.html,ASR-23,1 250 … 1 350 MHz,,,1 and 100 μsec,,,23 kW,,80 NM,,,1.25°,,12 or 10 rpm,30 000 hr,
karte045.en.html,SCR-21,2 700 … 2 900 MHz,,,,,,15 kW (8 modules),,70 NM (≙ 130 km),200 m,100 m; 0.25°,1.5°,,7.5 or 15 rpm,≥ 30 000 hrs,
karte046.en.html,KUŞRAD,,S-Band,,500; 600; 1100 Hz,"1,2;   0,6;   0,2 μs",,,60 kW,,40 km,< 20 m,,"β: 1.8°, ε: 20°",,26 rpm,,
karte047.en.html,AN/TPN-31,S-Band,,,,,,,,25 NM(≙ 46 km),,,1.8°,,15 rpm,,
karte048.en.html,AN/TPN-22,"9 000 … 9 200 MHz
	(X-Band)",,1 200 Hz,0.8 µs,,,120 kW,,3 NM (≙ 5.5 km),,,,,,,
karte049.en.html,AN/GPN-22,"9 000 … 9 200 MHz
	(X-Band)",,3 500 Hz,"0.5, 1.0, 2 µs",,,300 kW,1 kW,20 NM (≙ 37 km),,"100 ft, 1°",β= 0.75°; ε= 1.45°,,,,
karte050.en.html,ASR (NEC),"2 700 … 2 900 MHz
	(S-Band)",,,1 and 80 µs,,,10 … 50 kW,,"60 NM (≙ 110 km) or
	80 NM (≙ 150 km)",,≦150 m; ≦1.5°,1.3°,,15 rpm,,
karte051.en.html,CGA-2000,,X-Band,,,,,,,,30 NM,,,,,60 rpm,2212 hrs,0.25 hrs
karte052.en.html,Scanter 4000,"9 000 … 9 200 MHz
	(X-Band)",,,80 ns … 100 μs,,,6 kW,,42.5 NM (≙ 64 km),,,,,12 … 20 min⁻¹,,
karte053.en.html,Shoghi PSR,S-Band,,,,,,,,,,,,,,,
